fiscal_year,month,total_obligations
2008,October,2381353.28
2008,November,3670048.39
2008,December,473849.43
2008,January,1516534.2
2008,February,431516.38
2008,March,773311.63
2008,April,8894.67
2008,May,3863342.35
2008,June,8252632.38
2008,July,23446.85
2008,August,-48457.23
2008,September,925837.41
2009,October,382853.5
2009,November,3708813.71
2009,December,577830
2009,January,367999.48
2009,February,1224300.89
2009,March,233209.67
2009,April,2457071
2009,May,5211693.59
2009,June,2437056.3000000003
2009,July,1859047.29
2009,August,2027288.45
2009,September,4973132.84
2010,October,608034.38
2010,November,4455982.77
2010,December,3304734.24
2010,January,1189775.67
2010,February,1244615.06
2010,March,721421.45
2010,April,3621907.52
2010,May,5339736.58
2010,June,9121586.66
2010,July,2972744.89
2010,August,6344211.99
2010,September,9997345.75
2011,October,1794538.74
2011,November,774332.03
2011,December,3989203.48
2011,January,753550.04
2011,February,1576766.35
2011,March,4427339.81
2011,April,1737965.24
2011,May,5161978.81
2011,June,4291676.36
2011,July,1077624.64
2011,August,4539543.06
2011,September,10268434.63
2012,October,1338263.5
2012,November,898105.02
2012,December,1703312.99
2012,January,5366943.3
2012,February,2990436.55
2012,March,2742195.12
2012,April,2495300.37
2012,May,2386062.6
2012,June,4335726.79
2012,July,7439374.14
2012,August,8255031.15
2012,September,26824992.07
2013,October,554991.67
2013,November,-716699.13
2013,December,3667735.98
2013,January,3294357.69
2013,February,1097083.27
2013,March,3579880.91
2013,April,3782428.53
2013,May,9389743.91
2013,June,4797770.86
2013,July,6722372.3
2013,August,8904133.62
2013,September,6576491.37
2014,October,963110.89
2014,November,1013543.68
2014,December,545075.44
2014,January,2611336.78
2014,February,280592.95
2014,March,1701035.14
2014,April,1820821.72
2014,May,1714495.41
2014,June,3974618.77
2014,July,3523785.71
2014,August,7414715.73
2014,September,13888490.53
2015,October,1325045.96
2015,November,1495812.06
2015,December,1894096.08
2015,January,892744.84
2015,February,618505.05
2015,March,2635832.45
2015,April,998502.76
2015,May,2406016.33
2015,June,2480623.79
2015,July,8200585.97
2015,August,6216137.31
2015,September,18412129.37
2016,October,2067960.57
2016,November,1169134.27
2016,December,1513268.56
2016,January,493615.5
2016,February,1421034.91
2016,March,1745234.7
2016,April,1170948.9
2016,May,1762674.85
2016,June,2572223.61
2016,July,4025115.02
2016,August,7440009.4
2016,September,19944422.24
2017,October,2625338.82
2017,November,982937.48
2017,December,1715705.89
2017,January,1360382.04
2017,February,741098.97
2017,March,1682022.42
2017,April,1404931.81
2017,May,3273756.72
2017,June,3396619.97
2017,July,4570548.87
2017,August,6597895.44
2017,September,8034461.26
2018,October,2462038.25
2018,November,1846328.59
2018,December,831232.74
2018,January,1251160.94
2018,February,2104018.04
2018,March,994215.77
2018,April,3175932.02
2018,May,830764.12
2018,June,2603489.06
2018,July,9499508.68
2018,August,7645378.17
2018,September,9669695.41
2019,October,7494349.33
2019,November,2346511.7
2019,December,1022261.14
2019,January,13525390.4
2019,February,9309572.4
2019,March,1305608.76
2019,April,1055258.84
2019,May,11586964.21
2019,June,3198511.89
2019,July,3291006.72
2019,August,22712489.37
2019,September,11942168.85
2020,October,3653943.79
2020,November,1319357.66
2020,December,1426898.61
2020,January,9168984.82
2020,February,2263099.04
2020,March,5245284.67
2020,April,3510159.16
2020,May,3053293
2020,June,2647912.94
2020,July,4219276.32
2020,August,7099466.98
2020,September,15128240.22
2021,October,4409787.93
2021,November,1827125.19
2021,December,1478268.39
2021,January,2169126.06
2021,February,9363273.09
2021,March,794041.47
2021,April,1186939.89
2021,May,733789.37
2021,June,2780863.44
2021,July,3422782.06
2021,August,8999799.84
2021,September,9842426.41
2022,October,231344.52
2022,November,494278.02
2022,December,342445.05
2022,January,177090.41
2022,February,1120610.93
2022,March,2292393.8
2022,April,5287908.9
2022,May,2429289.65
2022,June,10429666.41
2022,July,3982349.5
2022,August,5118026.51
2022,September,5139386.14
2023,October,786822.68
2023,November,286414.66
2023,December,392476.32
2023,January,350485.1
2023,February,1430364.68
2023,March,3580221.92
2023,April,830993.14
2023,May,4230177.03
2023,June,3496395.04
2023,July,8123724.06
2023,August,8566509.56
2023,September,10913398.96
2024,October,3740878.31
2024,November,810813.59
2024,December,1505759.66
2024,January,-1116063.43
2024,February,1946133.66
2024,March,4170946.17
2024,April,2144381.87
2024,May,6244319.95
2024,June,39300
2024,July,0
2024,August,0
2024,September,0
