fiscal_year,month,total_obligations
2008,October,23340597.18
2008,November,4221678.36
2008,December,856724.45
2008,January,3317167.95
2008,February,1390591.38
2008,March,2157980.83
2008,April,463267.38
2008,May,31702345.21
2008,June,12299604.67
2008,July,7675715.4
2008,August,2653177.69
2008,September,11975426.09
2009,October,10079208.71
2009,November,14435030.06
2009,December,6197455.89
2009,January,2944546.29
2009,February,7293122.61
2009,March,3448344.99
2009,April,5128078.05
2009,May,12963480.6
2009,June,31356966.68
2009,July,10787201.12
2009,August,14153261.17
2009,September,51369806.23
2010,October,20863187.99
2010,November,16119584.69
2010,December,17404794.8
2010,January,5168174.57
2010,February,7312825.47
2010,March,14015512.13
2010,April,52774435.34
2010,May,48786258.55
2010,June,62145668.04
2010,July,63489160
2010,August,101050340.31
2010,September,75397001.47
2011,October,25300198.16
2011,November,16330626.62
2011,December,9270343.97
2011,January,19724584.39
2011,February,10539229.64
2011,March,15264416.34
2011,April,13308057.49
2011,May,43654634.18
2011,June,53898358.66
2011,July,59412021.85
2011,August,71576109.4
2011,September,96626717.92
2012,October,45244950.1
2012,November,13323735.4
2012,December,16606315.42
2012,January,22101805.34
2012,February,12263964.91
2012,March,11750315.17
2012,April,33387946.98
2012,May,31807127.7
2012,June,59172339.59
2012,July,58232085.63
2012,August,82982895.12
2012,September,100940053.18
2013,October,42581463.29
2013,November,109243982.43
2013,December,19036969.28
2013,January,18241708.98
2013,February,13599018.5
2013,March,26885215.49
2013,April,19128072.88
2013,May,61216513.31
2013,June,23952155.09
2013,July,39133349.09
2013,August,55885596.31
2013,September,37524763.23
2014,October,14902273.88
2014,November,28420217.23
2014,December,9931009.39
2014,January,11536077.3
2014,February,11562438.55
2014,March,36250102.7
2014,April,14265990.64
2014,May,34827835.45
2014,June,59641776.16
2014,July,55595911.76
2014,August,71393110.28
2014,September,83660973.78
2015,October,26542795.15
2015,November,22238424.86
2015,December,12825570.79
2015,January,10985210.22
2015,February,8919492.15
2015,March,32458856.83
2015,April,25797371.85
2015,May,64859482.11
2015,June,34008662.99
2015,July,61640086.95
2015,August,82363897.48
2015,September,113815424.76
2016,October,31435246.1
2016,November,33413800.76
2016,December,18041776.23
2016,January,9925782.48
2016,February,12525073.29
2016,March,15145952.4
2016,April,17254513.71
2016,May,44819167.81
2016,June,53932645.09
2016,July,59391521.22
2016,August,81041215.16
2016,September,81412303.55
2017,October,22012694.44
2017,November,15112045.64
2017,December,18267349.38
2017,January,11420372.77
2017,February,7411676.05
2017,March,15324007.54
2017,April,26558597
2017,May,43343094.16
2017,June,54636650.36
2017,July,72377223.19
2017,August,192133180.53
2017,September,165533044.96
2018,October,54831329.77
2018,November,25303835.73
2018,December,11263395.12
2018,January,17959755.05
2018,February,20071720.14
2018,March,11910264.55
2018,April,51689479.4
2018,May,25711611.85
2018,June,40644679.72
2018,July,76210881.37
2018,August,135971390.79
2018,September,153672169.43
2019,October,57364740.49
2019,November,40651260.95
2019,December,25445292.87
2019,January,49157094.51
2019,February,23775201.62
2019,March,34027340.42
2019,April,21985373.37
2019,May,54876738.81
2019,June,64883345.29
2019,July,48698548.35
2019,August,95776400.51
2019,September,149428342.03
2020,October,19487692.49
2020,November,9634790.68
2020,December,31676148.8
2020,January,19805519.36
2020,February,12850529.48
2020,March,21165523.91
2020,April,41019982.67
2020,May,103498700.37
2020,June,118408640.09
2020,July,75153700.43
2020,August,105832933.85
2020,September,130925670.47
2021,October,62680311.22
2021,November,43640652.52
2021,December,20082118.58
2021,January,43424941.93
2021,February,37584680.52
2021,March,72912177.45
2021,April,32494351.37
2021,May,50863774.52
2021,June,74860747.06
2021,July,27269455.3
2021,August,91976243.04
2021,September,168427218.02
2022,October,3715103.74
2022,November,19148141.49
2022,December,15385720.53
2022,January,83846928.37
2022,February,26700736.97
2022,March,68773826.2
2022,April,81761877.87
2022,May,171209980.03
2022,June,131869267.88
2022,July,123736053.73
2022,August,225064714.61
2022,September,300142247.16
2023,October,30377451.87
2023,November,28230466.32
2023,December,12380823.56
2023,January,31976750.52
2023,February,18640481.87
2023,March,61332067.69
2023,April,100786876.24
2023,May,110621183.04
2023,June,77049161.86
2023,July,275126126.09
2023,August,374199544.16
2023,September,192861597.6
2024,October,28931682.89
2024,November,26651871.14
2024,December,33968306.11
2024,January,14519698.67
2024,February,7290678.86
2024,March,146216209.8
2024,April,94548228.34
2024,May,293796030.49
2024,June,7724435.39
2024,July,0
2024,August,0
2024,September,0
